,read_id,insertion_idx,insertion_site,in_frame_insertion,forward_insertion,linker_seq,valid_linker,fixed_seq_end,fixed_seq_orientation,insert_match_strand,backbone_match_strand,backbone_start_idx,backbone_end_idx,linker_start_idx,linker_end_idx,insert_start_idx,insert_end_idx
0,NB501764:1535:HLGGMAFX3:1:11104:7484:15206,2522,864,True,True,,True,5p,1,1.0,1,0,23,30,29,29,37
1,NB501764:1535:HLGGMAFX3:1:11104:4645:14210,2498,840,True,True,,True,5p,1,1.0,1,0,44,51,50,50,58
2,NB501764:1535:HLGGMAFX3:1:11104:6002:14584,2492,834,True,True,,True,5p,1,1.0,1,0,58,65,64,64,72
3,NB501764:1535:HLGGMAFX3:1:11104:20564:14716,2510,852,True,True,,True,5p,1,1.0,1,0,59,66,65,65,73
4,NB501764:1535:HLGGMAFX3:1:11104:25418:13552,2528,870,True,True,,True,5p,1,1.0,1,0,50,57,56,56,64
5,NB501764:1535:HLGGMAFX3:1:11104:19956:13717,2519,861,True,True,,True,5p,1,1.0,1,0,104,111,110,110,118
6,NB501764:1535:HLGGMAFX3:1:11104:3321:12590,2519,861,True,True,,True,5p,1,1.0,1,0,50,57,56,56,64
7,NB501764:1535:HLGGMAFX3:1:11104:16046:12746,2522,864,True,True,,True,5p,1,1.0,1,0,65,72,71,71,79
8,NB501764:1535:HLGGMAFX3:1:11104:22313:10715,2495,837,True,True,,True,5p,1,1.0,1,0,110,117,116,116,124
9,NB501764:1535:HLGGMAFX3:1:11104:3872:10729,2498,840,True,True,,True,5p,1,1.0,1,0,119,126,125,125,133
10,NB501764:1535:HLGGMAFX3:1:11104:14445:18097,2507,849,True,True,,True,5p,1,1.0,1,0,33,40,39,39,47
11,NB501764:1535:HLGGMAFX3:1:11104:19546:19083,2510,852,True,True,,True,5p,1,1.0,1,0,73,80,79,79,87
12,NB501764:1535:HLGGMAFX3:1:11104:6588:19525,2528,870,True,True,,True,5p,1,1.0,1,0,24,31,30,30,38
13,NB501764:1535:HLGGMAFX3:1:11104:6856:19773,2531,873,True,True,,True,5p,1,1.0,1,0,36,43,42,42,50
14,NB501764:1535:HLGGMAFX3:1:11105:5392:1703,2531,873,True,True,,True,5p,1,1.0,1,0,72,79,78,78,86
15,NB501764:1535:HLGGMAFX3:1:11105:16994:1809,2504,846,True,True,,True,5p,1,1.0,1,0,75,82,81,81,89
16,NB501764:1535:HLGGMAFX3:1:11103:16589:15276,2513,855,True,True,,True,5p,1,1.0,1,0,89,96,95,95,103
