,read_id,insertion_idx,insertion_site,in_frame_insertion,forward_insertion,linker_seq,valid_linker,fixed_seq_end,fixed_seq_orientation,insert_match_strand,backbone_match_strand,backbone_start_idx,backbone_end_idx,linker_start_idx,linker_end_idx,insert_start_idx,insert_end_idx
0,NB501764:1535:HLGGMAFX3:1:11101:17927:17256,2801,1143,True,True,,True,5p,1,1.0,1,0,61,68,67,67,75
1,NB501764:1535:HLGGMAFX3:1:11101:18145:17908,2927,1269,True,True,,True,5p,1,1.0,1,0,100,107,106,106,114
2,NB501764:1535:HLGGMAFX3:1:11101:19879:17985,2843,1185,True,True,,True,5p,1,1.0,1,0,95,102,101,101,109
3,NB501764:1535:HLGGMAFX3:1:11101:10477:18383,2018,360,True,True,,True,5p,1,1.0,1,0,100,107,106,106,114
4,NB501764:1535:HLGGMAFX3:1:11101:14644:18600,2846,1188,True,True,,True,5p,1,1.0,1,0,75,82,81,81,89
5,NB501764:1535:HLGGMAFX3:1:11101:4911:19826,2840,1182,True,True,,True,5p,1,1.0,1,0,23,30,29,29,37
6,NB501764:1535:HLGGMAFX3:1:11101:15116:20227,2792,1134,True,True,,True,5p,1,1.0,1,0,99,106,105,105,113
7,NB501764:1535:HLGGMAFX3:1:11102:24875:1258,2783,1125,True,True,,True,5p,1,1.0,1,0,43,50,49,49,57
8,NB501764:1535:HLGGMAFX3:1:11102:17498:1359,2819,1161,True,True,,True,5p,1,1.0,1,0,53,60,59,59,67
9,NB501764:1535:HLGGMAFX3:1:11102:11058:1470,2837,1179,True,True,,True,5p,1,1.0,1,0,32,39,38,38,46
10,NB501764:1535:HLGGMAFX3:1:11102:18610:2252,2846,1188,True,True,,True,5p,1,1.0,1,0,66,73,72,72,80
11,NB501764:1535:HLGGMAFX3:1:11102:3444:2677,2840,1182,True,True,,True,5p,1,1.0,1,0,87,94,93,93,101
12,NB501764:1535:HLGGMAFX3:1:11102:9006:3490,2930,1272,True,True,,True,5p,1,1.0,1,0,43,50,49,49,57
13,NB501764:1535:HLGGMAFX3:1:11102:21701:4013,2786,1128,True,True,,True,5p,1,1.0,1,0,55,62,61,61,69
14,NB501764:1535:HLGGMAFX3:1:11102:3844:3621,2792,1134,True,True,,True,5p,1,1.0,1,0,107,114,113,113,121
15,NB501764:1535:HLGGMAFX3:1:11102:22618:4473,2801,1143,True,True,,True,5p,1,1.0,1,0,85,92,91,91,99
16,NB501764:1535:HLGGMAFX3:1:11102:12006:4641,2849,1191,True,True,,True,5p,1,1.0,1,0,33,40,39,39,47
17,NB501764:1535:HLGGMAFX3:1:11102:3107:4753,2801,1143,True,True,,True,5p,1,1.0,1,0,57,64,63,63,71
18,NB501764:1535:HLGGMAFX3:1:11102:23096:5506,2828,1170,True,True,,True,5p,1,1.0,1,0,24,31,30,30,38
19,NB501764:1535:HLGGMAFX3:1:11102:23444:5558,2783,1125,True,True,,True,5p,1,1.0,1,0,29,36,35,35,43
20,NB501764:1535:HLGGMAFX3:1:11102:2790:5732,2819,1161,True,True,,True,5p,1,1.0,1,0,61,68,67,67,75
21,NB501764:1535:HLGGMAFX3:1:11102:18985:7251,2804,1146,True,True,,True,5p,1,1.0,1,0,111,118,117,117,125
22,NB501764:1535:HLGGMAFX3:1:11102:6266:9809,2858,1200,True,True,,True,5p,1,1.0,1,0,43,50,49,49,57
23,NB501764:1535:HLGGMAFX3:1:11102:10317:6908,2786,1128,True,True,,True,5p,1,1.0,1,0,88,95,94,94,102
24,NB501764:1535:HLGGMAFX3:1:11102:9993:9285,2921,1263,True,True,,True,5p,1,1.0,1,0,57,64,63,63,71
25,NB501764:1535:HLGGMAFX3:1:11102:24022:9340,2924,1266,True,True,,True,5p,1,1.0,1,0,65,72,71,71,79
26,NB501764:1535:HLGGMAFX3:1:11102:17260:9067,1982,324,True,True,,True,5p,1,1.0,1,0,38,45,44,44,52
27,NB501764:1535:HLGGMAFX3:1:11101:23160:1667,2810,1152,True,True,,True,5p,1,1.0,1,0,126,133,132,132,140
