,read_id,insertion_idx,insertion_site,in_frame_insertion,forward_insertion,linker_seq,valid_linker,fixed_seq_end,fixed_seq_orientation,insert_match_strand,backbone_match_strand,backbone_start_idx,backbone_end_idx,linker_start_idx,linker_end_idx,insert_start_idx,insert_end_idx
0,NB501764:1535:HLGGMAFX3:1:11103:1961:13662,1871,213,True,True,,True,5p,1,1.0,1,0,53,60,59,59,67
1,NB501764:1535:HLGGMAFX3:1:11103:23994:15058,1805,147,True,True,,True,5p,1,1.0,1,0,25,32,31,31,39
2,NB501764:1535:HLGGMAFX3:1:11103:25653:15093,2129,471,True,True,,True,5p,1,1.0,1,0,83,90,89,89,97
3,NB501764:1535:HLGGMAFX3:1:11103:13781:15096,1847,189,True,True,,True,5p,1,1.0,1,0,55,62,61,61,69
4,NB501764:1535:HLGGMAFX3:1:11103:21939:15182,2231,573,True,True,,True,5p,1,1.0,1,0,61,68,67,67,75
5,NB501764:1535:HLGGMAFX3:1:11103:9762:17047,2099,441,True,True,,True,5p,1,1.0,1,0,98,105,104,104,112
6,NB501764:1535:HLGGMAFX3:1:11103:4246:17280,1765,107,False,True,,True,5p,1,1.0,1,0,129,136,135,135,143
7,NB501764:1535:HLGGMAFX3:1:11103:19059:17500,1871,213,True,True,,True,5p,1,1.0,1,0,109,116,115,115,123
8,NB501764:1535:HLGGMAFX3:1:11103:10958:17568,2228,570,True,True,,True,5p,1,1.0,1,0,97,104,103,103,111
9,NB501764:1535:HLGGMAFX3:1:11103:24208:17638,1697,39,True,True,,True,5p,1,1.0,1,0,61,68,67,67,75
10,NB501764:1535:HLGGMAFX3:1:11103:23032:18204,1778,120,True,True,,True,5p,1,1.0,1,0,52,59,58,58,66
11,NB501764:1535:HLGGMAFX3:1:11103:19180:18573,1888,230,False,True,,True,5p,1,1.0,1,0,65,72,71,71,79
12,NB501764:1535:HLGGMAFX3:1:11103:17562:18816,1733,75,True,True,,True,5p,1,1.0,1,0,70,77,76,76,84
13,NB501764:1535:HLGGMAFX3:1:11103:23278:19013,1925,267,True,True,,True,5p,1,1.0,1,0,99,106,105,105,113
14,NB501764:1535:HLGGMAFX3:1:11103:7086:8583,1682,24,True,True,,True,5p,1,1.0,1,0,34,41,40,40,48
