,read_id,insertion_idx,insertion_site,in_frame_insertion,forward_insertion,linker_seq,valid_linker,fixed_seq_end,fixed_seq_orientation,insert_match_strand,backbone_match_strand,backbone_start_idx,backbone_end_idx,linker_start_idx,linker_end_idx,insert_start_idx,insert_end_idx
0,M00758:1080:JFTJG:1:2108:12716:11366,1946,288,True,True,,True,5p,1,1.0,1,0,84,91,90,90,98
1,M00758:1080:JFTJG:1:2112:17124:24402,2213,555,True,True,,True,5p,1,1.0,1,0,98,105,104,104,112
2,M00758:1080:JFTJG:1:2109:18308:4114,2204,546,True,True,,True,5p,1,1.0,1,0,57,64,63,63,71
3,M00758:1080:JFTJG:1:2112:10404:16924,1886,228,True,True,,True,5p,1,1.0,1,0,147,154,153,153,161
4,M00758:1080:JFTJG:1:2107:15997:11538,1775,117,True,True,,True,5p,1,1.0,1,0,125,132,131,131,139
5,M00758:1080:JFTJG:1:1103:18535:5151,2489,831,True,True,,True,5p,1,1.0,1,0,20,27,26,26,34
6,M00758:1080:JFTJG:1:2102:19486:2539,1991,333,True,True,,True,5p,1,1.0,1,0,120,127,126,126,134
7,M00758:1080:JFTJG:1:1103:28850:17049,2090,432,True,True,,True,5p,1,1.0,1,0,63,70,69,69,77
8,M00758:1080:JFTJG:1:2111:7008:23399,1895,237,True,True,,True,5p,1,1.0,1,0,24,31,30,30,38
9,M00758:1080:JFTJG:1:1114:26832:12526,2081,423,True,True,,True,5p,1,1.0,1,0,13,20,19,19,27
10,M00758:1080:JFTJG:1:1108:13038:6924,1976,318,True,True,,True,5p,1,1.0,1,0,158,165,164,164,172
11,M00758:1080:JFTJG:1:1103:8260:5879,2099,441,True,True,,True,5p,1,1.0,1,0,165,172,171,171,179
12,M00758:1080:JFTJG:1:1105:18180:17031,2018,360,True,True,,True,5p,1,1.0,1,0,118,125,124,124,132
13,M00758:1080:JFTJG:1:2113:7073:13557,1829,171,True,True,,True,5p,1,1.0,1,0,32,39,38,38,46
14,M00758:1080:JFTJG:1:2113:15941:23420,2234,576,True,True,,True,5p,1,1.0,1,0,86,93,92,92,100
15,M00758:1080:JFTJG:1:2103:17496:12582,2327,669,True,True,,True,5p,1,1.0,1,0,144,151,150,150,158
16,M00758:1080:JFTJG:1:2105:28011:13146,2108,450,True,True,,True,5p,1,1.0,1,0,100,107,106,106,114
17,M00758:1080:JFTJG:1:1101:11154:19885,1835,177,True,True,,True,5p,1,1.0,1,0,78,85,84,84,92
18,M00758:1080:JFTJG:1:1112:3874:13399,2015,357,True,True,,True,5p,1,1.0,1,0,69,76,75,75,83
19,M00758:1080:JFTJG:1:2113:26548:19658,2198,540,True,True,,True,5p,1,1.0,1,0,50,57,56,56,64
20,M00758:1080:JFTJG:1:1109:18343:26408,2324,666,True,True,,True,5p,1,1.0,1,0,98,105,104,104,112
21,M00758:1080:JFTJG:1:2107:27119:12758,1895,237,True,True,,True,5p,1,1.0,1,0,22,29,28,28,36
22,M00758:1080:JFTJG:1:2107:17837:19280,2144,486,True,True,,True,5p,1,1.0,1,0,230,237,236,236,244
23,M00758:1080:JFTJG:1:2104:5868:8686,2393,735,True,True,,True,5p,1,1.0,1,0,86,93,92,92,100
24,M00758:1080:JFTJG:1:1104:21243:19938,1991,333,True,True,,True,5p,1,1.0,1,0,29,36,35,35,43
25,M00758:1080:JFTJG:1:1109:12542:12562,1997,339,True,True,,True,5p,1,1.0,1,0,83,90,89,89,97
26,M00758:1080:JFTJG:1:2104:4200:7516,1994,336,True,True,,True,5p,1,1.0,1,0,79,86,85,85,93
27,M00758:1080:JFTJG:1:2105:20414:18002,2213,555,True,True,,True,5p,1,1.0,1,0,56,63,62,62,70
28,M00758:1080:JFTJG:1:1112:15165:21367,1970,312,True,True,,True,5p,1,1.0,1,0,20,27,26,26,34
29,M00758:1080:JFTJG:1:1107:22233:10319,2114,456,True,True,,True,5p,1,1.0,1,0,98,105,104,104,112
30,M00758:1080:JFTJG:1:2107:10463:17331,1973,315,True,True,,True,5p,1,1.0,1,0,67,74,73,73,81
31,M00758:1080:JFTJG:1:2103:7601:11942,1988,330,True,True,,True,5p,1,1.0,1,0,23,30,29,29,37
32,M00758:1080:JFTJG:1:1102:26709:18792,1979,321,True,True,,True,5p,1,1.0,1,0,65,72,71,71,79
33,M00758:1080:JFTJG:1:1103:10504:24322,1805,147,True,True,,True,5p,1,1.0,1,0,79,86,85,85,93
34,M00758:1080:JFTJG:1:1112:12083:28051,1859,201,True,True,,True,5p,1,1.0,1,0,16,23,22,22,30
35,M00758:1080:JFTJG:1:2112:10664:21540,2069,411,True,True,,True,5p,1,1.0,1,0,137,144,143,143,151
36,M00758:1080:JFTJG:1:2109:27236:22138,1871,213,True,True,,True,5p,1,1.0,1,0,100,107,106,106,114
