,read_id,insertion_idx,insertion_site,in_frame_insertion,forward_insertion,linker_seq,valid_linker,fixed_seq_end,fixed_seq_orientation,insert_match_strand,backbone_match_strand,backbone_start_idx,backbone_end_idx,linker_start_idx,linker_end_idx,insert_start_idx,insert_end_idx
0,NB501764:1535:HLGGMAFX3:1:11101:18372:15073,2531,873,True,True,,True,5p,1,1.0,1,0,77,84,83,83,91
1,NB501764:1535:HLGGMAFX3:1:11101:5448:15135,2519,861,True,True,,True,5p,1,1.0,1,0,68,75,74,74,82
2,NB501764:1535:HLGGMAFX3:1:11101:14099:15260,2498,840,True,True,,True,5p,1,1.0,1,0,83,90,89,89,97
3,NB501764:1535:HLGGMAFX3:1:11101:1401:13790,2510,852,True,True,,True,5p,1,1.0,1,0,73,80,79,79,87
4,NB501764:1535:HLGGMAFX3:1:11101:11288:13818,2513,855,True,True,,True,5p,1,1.0,1,0,29,36,35,35,43
5,NB501764:1535:HLGGMAFX3:1:11101:17522:7945,2492,834,True,True,,True,5p,1,1.0,1,0,16,23,22,22,30
6,NB501764:1535:HLGGMAFX3:1:11101:12676:13613,2516,858,True,True,,True,5p,1,1.0,1,0,111,118,117,117,125
7,NB501764:1535:HLGGMAFX3:1:11101:11623:13379,2519,861,True,True,,True,5p,1,1.0,1,0,28,35,34,34,42
8,NB501764:1535:HLGGMAFX3:1:11101:8328:16728,2498,840,True,True,,True,5p,1,1.0,1,0,61,68,67,67,75
9,NB501764:1535:HLGGMAFX3:1:11101:3453:16803,2339,681,True,True,,True,5p,1,1.0,1,0,78,85,84,84,92
10,NB501764:1535:HLGGMAFX3:1:11101:11200:15713,2492,834,True,True,,True,5p,1,1.0,1,0,60,67,66,66,74
11,NB501764:1535:HLGGMAFX3:1:11101:21068:15921,2519,861,True,True,,True,5p,1,1.0,1,0,124,131,130,130,138
12,NB501764:1535:HLGGMAFX3:1:11101:21848:18198,2495,837,True,True,,True,5p,1,1.0,1,0,21,28,27,27,35
13,NB501764:1535:HLGGMAFX3:1:11101:5113:18925,2507,849,True,True,,True,5p,1,1.0,1,0,23,30,29,29,37
14,NB501764:1535:HLGGMAFX3:1:11101:15662:19682,2531,873,True,True,,True,5p,1,1.0,1,0,14,21,20,20,28
15,NB501764:1535:HLGGMAFX3:1:11101:16445:19862,1835,177,True,True,,True,5p,1,1.0,1,0,28,35,34,34,42
16,NB501764:1535:HLGGMAFX3:1:11102:22779:1665,2498,840,True,True,,True,5p,1,1.0,1,0,61,68,67,67,75
17,NB501764:1535:HLGGMAFX3:1:11102:12061:1851,2513,855,True,True,,True,5p,1,1.0,1,0,44,51,50,50,58
18,NB501764:1535:HLGGMAFX3:1:11102:10370:1912,2126,468,True,True,,True,5p,1,1.0,1,0,58,65,64,64,72
19,NB501764:1535:HLGGMAFX3:1:11102:3300:3131,1688,30,True,True,,True,5p,1,1.0,1,0,59,66,65,65,73
20,NB501764:1535:HLGGMAFX3:1:11102:20844:4078,2510,852,True,True,,True,5p,1,1.0,1,0,81,88,87,87,95
21,NB501764:1535:HLGGMAFX3:1:11102:7831:4566,2492,834,True,True,,True,5p,1,1.0,1,0,41,48,47,47,55
22,NB501764:1535:HLGGMAFX3:1:11102:3327:4709,2495,837,True,True,,True,5p,1,1.0,1,0,60,67,66,66,74
23,NB501764:1535:HLGGMAFX3:1:11102:23028:4757,2516,858,True,True,,True,5p,1,1.0,1,0,101,108,107,107,115
24,NB501764:1535:HLGGMAFX3:1:11102:6274:4770,2531,873,True,True,,True,5p,1,1.0,1,0,51,58,57,57,65
25,NB501764:1535:HLGGMAFX3:1:11102:15220:5333,1877,219,True,True,,True,5p,1,1.0,1,0,84,91,90,90,98
26,NB501764:1535:HLGGMAFX3:1:11102:7213:5475,1982,324,True,True,,True,5p,1,1.0,1,0,36,43,42,42,50
27,NB501764:1535:HLGGMAFX3:1:11102:3671:5967,2507,849,True,True,,True,5p,1,1.0,1,0,38,45,44,44,52
28,NB501764:1535:HLGGMAFX3:1:11102:1811:6565,1931,273,True,True,,True,5p,1,1.0,1,0,102,109,108,108,116
29,NB501764:1535:HLGGMAFX3:1:11102:7990:8049,2501,843,True,True,,True,5p,1,1.0,1,0,64,71,70,70,78
30,NB501764:1535:HLGGMAFX3:1:11102:15566:7680,2468,810,True,True,,True,5p,1,1.0,1,0,53,60,59,59,67
31,NB501764:1535:HLGGMAFX3:1:11102:2093:7832,2504,846,True,True,,True,5p,1,1.0,1,0,67,74,73,73,81
32,NB501764:1535:HLGGMAFX3:1:11102:14772:7872,1691,33,True,True,,True,5p,1,1.0,1,0,41,48,47,47,55
33,NB501764:1535:HLGGMAFX3:1:11102:11623:9205,1763,105,True,True,,True,5p,1,1.0,1,0,49,56,55,55,63
34,NB501764:1535:HLGGMAFX3:1:11102:26124:9333,2522,864,True,True,,True,5p,1,1.0,1,0,85,92,91,91,99
35,NB501764:1535:HLGGMAFX3:1:11102:8582:9788,2507,849,True,True,,True,5p,1,1.0,1,0,70,77,76,76,84
36,NB501764:1535:HLGGMAFX3:1:11102:12327:8813,2519,861,True,True,,True,5p,1,1.0,1,0,50,57,56,56,64
37,NB501764:1535:HLGGMAFX3:1:11102:21322:8824,2438,780,True,True,,True,5p,1,1.0,1,0,121,128,127,127,135
38,NB501764:1535:HLGGMAFX3:1:11102:23375:9034,2501,843,True,True,,True,5p,1,1.0,1,0,64,71,70,70,78
39,NB501764:1535:HLGGMAFX3:1:11102:22517:10953,1700,42,True,True,,True,5p,1,1.0,1,0,71,78,77,77,85
